,Location Name,Latitude,Longitude,Movie Name,Movie Page Link
0,Hahnville,29.976858,-90.410561,10 Cloverfield Lane,https://www.latlong.net/location/10-cloverfield-lane-locations-553
1,Home Place Plantation,29.971119,-90.407745,10 Cloverfield Lane,https://www.latlong.net/location/10-cloverfield-lane-locations-553
2,New Orleans,29.950888,-90.076546,10 Cloverfield Lane,https://www.latlong.net/location/10-cloverfield-lane-locations-553
3,1117 Broadway (Gil's Music Shop),47.252495,-122.439644,10 Things I Hate About You,https://www.latlong.net/location/10-things-i-hate-about-you-locations-250
4,2715 North Junett St (Kat and Bianca's House),47.272591,-122.47448,10 Things I Hate About You,https://www.latlong.net/location/10-things-i-hate-about-you-locations-250
5,Aurora Bridge,47.646713,-122.347435,10 Things I Hate About You,https://www.latlong.net/location/10-things-i-hate-about-you-locations-250
6,Buckaroo Tavern (closed),47.657841,-122.350327,10 Things I Hate About You,https://www.latlong.net/location/10-things-i-hate-about-you-locations-250
7,Century Ballroom,47.615028,-122.319855,10 Things I Hate About You,https://www.latlong.net/location/10-things-i-hate-about-you-locations-250
8,Fremont Place Books (closed),47.650452,-122.35051,10 Things I Hate About You,https://www.latlong.net/location/10-things-i-hate-about-you-locations-250
9,Fremont Troll,47.651093,-122.347435,10 Things I Hate About You,https://www.latlong.net/location/10-things-i-hate-about-you-locations-250
10,Gas Works Park,47.645561,-122.334496,10 Things I Hate About You,https://www.latlong.net/location/10-things-i-hate-about-you-locations-250
11,Kerry Park,47.629402,-122.360008,10 Things I Hate About You,https://www.latlong.net/location/10-things-i-hate-about-you-locations-250
12,Kingdome,47.595993,-122.333649,10 Things I Hate About You,https://www.latlong.net/location/10-things-i-hate-about-you-locations-250
13,Paramount Theatre,47.613235,-122.331451,10 Things I Hate About You,https://www.latlong.net/location/10-things-i-hate-about-you-locations-250
14,Seattle,47.601871,-122.341248,10 Things I Hate About You,https://www.latlong.net/location/10-things-i-hate-about-you-locations-250
